order_id,order_date,city,warehouse_id,delivery_date,category,order_value_inr,courier_partner,route_id
80027,1/31/2025,Mumbai,WH_012,2/3/2025,Beauty & Personal Care,576.99,EcomExpress,R_WH_012_Mumbai
80028,8/30/2025,Faridabad,WH_015,9/5/2025,Footwear,649.86,BlueDart,R_WH_015_Faridabad
80029,6/29/2024,Dhanbad,WH_007,7/1/2024,Furniture,215.25,BlueDart,R_WH_007_Dhanbad
80030,2/15/2023,Visakhapatnam,WH_012,2/19/2023,Automotive,1538.29,Delhivery,R_WH_012_Visakhapatnam
80031,7/21/2025,Madurai,WH_015,7/22/2025,Beauty & Personal Care,247.18,IndiaPost,R_WH_015_Madurai
80032,3/21/2025,Indore,WH_003,3/24/2025,Office Products,772.12,DTDC,R_WH_003_Indore
80033,2/16/2023,Aligarh,WH_015,2/20/2023,Mobile & Accessories,1730.2,BlueDart,R_WH_015_Aligarh
80034,1/25/2024,Ghaziabad,WH_014,1/27/2024,Health,693.2,Shadowfax,R_WH_014_Ghaziabad
80035,9/9/2023,Bengaluru,WH_019,9/13/2023,Sports & Fitness,1983.26,Delhivery,R_WH_019_Bengaluru
80036,6/15/2023,Chandigarh,WH_011,6/16/2023,Beauty & Personal Care,861.78,Delhivery,R_WH_011_Chandigarh
80037,1/3/2024,Allahabad,WH_003,1/6/2024,Industrial Supplies,342.93,XpressBees,R_WH_003_Allahabad
80038,1/14/2024,Mumbai,WH_005,1/19/2024,Home & Kitchen,634.85,EcomExpress,R_WH_005_Mumbai
80039,11/13/2023,Vijayawada,WH_013,11/17/2023,Jewellery,337.22,Delhivery,R_WH_013_Vijayawada
80040,5/12/2023,Visakhapatnam,WH_013,5/14/2023,Toys & Baby,533.85,Delhivery,R_WH_013_Visakhapatnam
80041,1/24/2024,Ludhiana,WH_015,1/30/2024,Beauty & Personal Care,231.31,XpressBees,R_WH_015_Ludhiana
80042,8/4/2024,Bhubaneswar,WH_003,8/5/2024,Footwear,1271.99,IndiaPost,R_WH_003_Bhubaneswar
80043,7/25/2024,Coimbatore,WH_005,7/29/2024,Home & Kitchen,164.14,EcomExpress,R_WH_005_Coimbatore
80044,12/17/2024,Srinagar,WH_015,12/18/2024,Appliances,1896.9,IndiaPost,R_WH_015_Srinagar
80045,1/19/2025,Lucknow,WH_017,1/21/2025,Health,3003.75,DTDC,R_WH_017_Lucknow
80046,5/5/2025,Hyderabad,WH_012,5/9/2025,Footwear,4841.03,IndiaPost,R_WH_012_Hyderabad
80047,12/14/2023,Ranchi,WH_001,12/16/2023,Beauty & Personal Care,1573.76,DTDC,R_WH_001_Ranchi
80048,4/24/2025,Patna,WH_002,4/27/2025,Sports & Fitness,2259.13,EcomExpress,R_WH_002_Patna
80049,9/9/2024,Srinagar,WH_017,9/9/2024,Footwear,974.91,BlueDart,R_WH_017_Srinagar
80050,5/11/2024,Rajkot,WH_014,5/18/2024,Mobile & Accessories,5227.81,EcomExpress,R_WH_014_Rajkot
80051,11/26/2024,Chandigarh,WH_007,11/30/2024,Stationery,195.04,DTDC,R_WH_007_Chandigarh
80052,4/29/2025,Pimpri-Chinchwad,WH_016,5/3/2025,Electronics,505.32,Shadowfax,R_WH_016_Pimpri-Chinchwad
80053,8/12/2025,Coimbatore,WH_012,8/16/2025,Footwear,1996.39,IndiaPost,R_WH_012_Coimbatore
80054,5/25/2024,Vijayawada,WH_018,5/27/2024,Fashion-Men,1192.64,BlueDart,R_WH_018_Vijayawada
80055,6/2/2024,Indore,WH_020,6/3/2024,Mobile & Accessories,2566.03,AmazonLogistics,R_WH_020_Indore
80056,3/27/2024,Ahmedabad,WH_003,3/30/2024,Electronics,260.84,Shadowfax,R_WH_003_Ahmedabad
80057,6/26/2024,Agra,WH_005,6/30/2024,Fashion-Women,799.33,EcomExpress,R_WH_005_Agra
80058,8/4/2023,Madurai,WH_015,8/7/2023,Books,1595.05,DTDC,R_WH_015_Madurai
80059,4/14/2024,Ranchi,WH_012,4/16/2024,Fashion-Women,244.67,Shadowfax,R_WH_012_Ranchi
80060,5/2/2025,Vijayawada,WH_010,5/5/2025,Toys & Baby,2817.32,DTDC,R_WH_010_Vijayawada
80061,10/31/2023,Moradabad,WH_002,11/4/2023,Sports & Fitness,412.09,EcomExpress,R_WH_002_Moradabad
80062,10/25/2023,Meerut,WH_009,10/28/2023,Sports & Fitness,399.71,BlueDart,R_WH_009_Meerut
80063,12/12/2023,Lucknow,WH_015,12/16/2023,Footwear,257.14,XpressBees,R_WH_015_Lucknow
80064,10/13/2023,Rajkot,WH_016,10/16/2023,Appliances,1105.88,AmazonLogistics,R_WH_016_Rajkot
80065,6/3/2025,Vadodara,WH_011,6/8/2025,Grocery,786.41,Shadowfax,R_WH_011_Vadodara
80066,5/6/2023,Indore,WH_015,5/7/2023,Footwear,131.43,DTDC,R_WH_015_Indore
80067,2/20/2023,Coimbatore,WH_011,2/24/2023,Books,1296.66,EcomExpress,R_WH_011_Coimbatore
80068,2/23/2024,Vijayawada,WH_009,2/26/2024,Beauty & Personal Care,162.28,DTDC,R_WH_009_Vijayawada
80069,12/2/2024,Coimbatore,WH_007,12/3/2024,Pet Supplies,662.02,EcomExpress,R_WH_007_Coimbatore
80070,2/20/2023,Ranchi,WH_016,2/25/2023,Grocery,2965.95,EcomExpress,R_WH_016_Ranchi
80071,4/15/2024,Aligarh,WH_004,4/16/2024,Fashion-Men,3337.99,Shadowfax,R_WH_004_Aligarh
80072,1/11/2024,Jabalpur,WH_006,1/16/2024,Appliances,662.87,BlueDart,R_WH_006_Jabalpur
80073,12/31/2023,Kalyan-Dombivli,WH_014,1/3/2024,Furniture,1585.65,EcomExpress,R_WH_014_Kalyan-Dombivli
80074,8/20/2023,Gwalior,WH_011,8/23/2023,Toys & Baby,196.29,Delhivery,R_WH_011_Gwalior
80075,11/20/2024,Ahmedabad,WH_011,11/24/2024,Grocery,957.18,Shadowfax,R_WH_011_Ahmedabad
80076,10/31/2024,Jodhpur,WH_015,11/4/2024,Footwear,715.8,IndiaPost,R_WH_015_Jodhpur
80077,10/20/2024,Srinagar,WH_012,10/22/2024,Fashion-Women,1239.45,IndiaPost,R_WH_012_Srinagar
80078,4/24/2024,Meerut,WH_004,4/30/2024,Toys & Baby,607.47,Shadowfax,R_WH_004_Meerut
80079,11/2/2023,Kolkata,WH_008,11/9/2023,Health,715.05,BlueDart,R_WH_008_Kolkata
80080,3/13/2024,Amritsar,WH_016,3/18/2024,Footwear,5941.91,DTDC,R_WH_016_Amritsar
80081,9/8/2023,Bengaluru,WH_012,9/10/2023,Office Products,193.97,BlueDart,R_WH_012_Bengaluru
80082,4/30/2025,Nashik,WH_003,5/2/2025,Furniture,2074.48,IndiaPost,R_WH_003_Nashik
80083,12/8/2023,Kolkata,WH_007,12/16/2023,Books,1353.6,Delhivery,R_WH_007_Kolkata
80084,5/12/2023,Aligarh,WH_019,5/18/2023,Beauty & Personal Care,3316.86,Shadowfax,R_WH_019_Aligarh
80085,1/18/2025,Kalyan-Dombivli,WH_001,1/21/2025,Toys & Baby,954.91,BlueDart,R_WH_001_Kalyan-Dombivli
80086,6/7/2024,Gurugram,WH_020,6/10/2024,Sports & Fitness,1842.99,AmazonLogistics,R_WH_020_Gurugram
80087,10/16/2024,Dhanbad,WH_019,10/18/2024,Stationery,403.64,IndiaPost,R_WH_019_Dhanbad
80088,5/20/2024,Kolkata,WH_012,5/27/2024,Mobile & Accessories,272.41,EcomExpress,R_WH_012_Kolkata
80089,2/3/2024,Aligarh,WH_016,2/7/2024,Jewellery,1806.84,EcomExpress,R_WH_016_Aligarh
80090,6/24/2025,Surat,WH_004,6/25/2025,Stationery,4073.35,Delhivery,R_WH_004_Surat
80091,4/28/2023,Thane,WH_012,4/29/2023,Books,600.03,IndiaPost,R_WH_012_Thane
80092,3/2/2023,Surat,WH_014,3/5/2023,Sports & Fitness,1623.91,EcomExpress,R_WH_014_Surat
80093,7/3/2025,Amritsar,WH_004,7/4/2025,Furniture,1200.62,Delhivery,R_WH_004_Amritsar
80094,6/30/2023,Ranchi,WH_006,7/3/2023,Toys & Baby,2452.18,Shadowfax,R_WH_006_Ranchi
80095,8/25/2025,Hyderabad,WH_003,8/30/2025,Books,1273.97,EcomExpress,R_WH_003_Hyderabad
80096,11/9/2023,Howrah,WH_006,11/12/2023,Fashion-Men,1224.3,XpressBees,R_WH_006_Howrah
80097,9/17/2025,Indore,WH_001,9/19/2025,Toys & Baby,322.06,BlueDart,R_WH_001_Indore
80098,9/22/2023,Pimpri-Chinchwad,WH_019,9/26/2023,Footwear,522.68,EcomExpress,R_WH_019_Pimpri-Chinchwad
80099,1/29/2023,Gwalior,WH_010,2/1/2023,Fashion-Men,683.01,Delhivery,R_WH_010_Gwalior
80100,9/20/2023,Hyderabad,WH_004,9/22/2023,Fashion-Women,3285.34,DTDC,R_WH_004_Hyderabad
80101,12/12/2024,Bengaluru,WH_006,12/18/2024,Books,188.61,EcomExpress,R_WH_006_Bengaluru
80102,9/8/2024,Patna,WH_007,9/15/2024,Electronics,1631.32,XpressBees,R_WH_007_Patna
80103,7/1/2025,Rajkot,WH_008,7/4/2025,Mobile & Accessories,4620.48,AmazonLogistics,R_WH_008_Rajkot
80104,8/13/2024,Varanasi,WH_006,8/15/2024,Office Products,1710.5,Delhivery,R_WH_006_Varanasi
80105,10/17/2024,Nagpur,WH_006,10/19/2024,Beauty & Personal Care,1081.41,Delhivery,R_WH_006_Nagpur
80106,12/11/2024,Jodhpur,WH_005,12/12/2024,Mobile & Accessories,438.84,BlueDart,R_WH_005_Jodhpur
80107,9/9/2024,Hyderabad,WH_019,9/9/2024,Books,772.3,AmazonLogistics,R_WH_019_Hyderabad
80108,12/5/2023,Raipur,WH_020,12/7/2023,Office Products,356.23,Delhivery,R_WH_020_Raipur
80109,2/26/2024,Patna,WH_010,2/28/2024,Office Products,1546.78,Delhivery,R_WH_010_Patna
80110,3/30/2023,Mangalore,WH_003,4/1/2023,Sports & Fitness,1516.31,AmazonLogistics,R_WH_003_Mangalore
80111,11/28/2023,Coimbatore,WH_012,12/2/2023,Fashion-Women,426.58,AmazonLogistics,R_WH_012_Coimbatore
80112,9/18/2025,Dhanbad,WH_012,9/21/2025,Electronics,6444.96,XpressBees,R_WH_012_Dhanbad
80113,3/6/2024,Vijayawada,WH_004,3/11/2024,Office Products,318.24,BlueDart,R_WH_004_Vijayawada
80114,2/16/2025,Gurugram,WH_015,2/19/2025,Appliances,4178.64,Delhivery,R_WH_015_Gurugram
80115,2/1/2025,Ahmedabad,WH_008,2/6/2025,Books,959.61,DTDC,R_WH_008_Ahmedabad
80116,6/1/2023,Visakhapatnam,WH_002,6/3/2023,Toys & Baby,2674.77,XpressBees,R_WH_002_Visakhapatnam
80117,3/28/2025,Raipur,WH_013,3/30/2025,Office Products,1142.96,IndiaPost,R_WH_013_Raipur
80118,12/8/2024,Visakhapatnam,WH_009,12/11/2024,Electronics,1281.6,EcomExpress,R_WH_009_Visakhapatnam
80119,5/6/2023,Visakhapatnam,WH_005,5/9/2023,Toys & Baby,1051.92,BlueDart,R_WH_005_Visakhapatnam
80120,2/12/2023,Faridabad,WH_005,2/14/2023,Industrial Supplies,400.76,Shadowfax,R_WH_005_Faridabad
80121,2/25/2024,Gwalior,WH_017,2/25/2024,Books,2162.85,EcomExpress,R_WH_017_Gwalior
80122,11/15/2024,Pune,WH_013,11/20/2024,Beauty & Personal Care,334.37,EcomExpress,R_WH_013_Pune
80123,5/4/2024,Kalyan-Dombivli,WH_014,5/7/2024,Pet Supplies,175.55,EcomExpress,R_WH_014_Kalyan-Dombivli
80124,7/19/2024,Aligarh,WH_012,7/20/2024,Stationery,911.62,AmazonLogistics,R_WH_012_Aligarh
80125,9/10/2023,Gurugram,WH_011,9/13/2023,Fashion-Men,2251.9,BlueDart,R_WH_011_Gurugram
80126,9/25/2025,Patna,WH_001,9/28/2025,Fashion-Men,593.46,Delhivery,R_WH_001_Patna
80127,3/21/2025,Pune,WH_004,3/22/2025,Jewellery,1358.85,EcomExpress,R_WH_004_Pune
80128,12/8/2024,Surat,WH_007,12/10/2024,Books,1258.37,Delhivery,R_WH_007_Surat
80129,4/28/2024,Pimpri-Chinchwad,WH_017,5/1/2024,Books,869.13,Delhivery,R_WH_017_Pimpri-Chinchwad
80130,10/20/2023,Mangalore,WH_006,10/23/2023,Grocery,752.63,AmazonLogistics,R_WH_006_Mangalore
80131,8/5/2023,Bengaluru,WH_011,8/7/2023,Home & Kitchen,106.34,Shadowfax,R_WH_011_Bengaluru
80132,6/18/2023,Rajkot,WH_013,6/20/2023,Toys & Baby,2450.25,IndiaPost,R_WH_013_Rajkot
80133,1/3/2025,Amritsar,WH_016,1/9/2025,Automotive,648.2,DTDC,R_WH_016_Amritsar
80134,10/1/2024,Bhopal,WH_016,10/7/2024,Office Products,2504.97,BlueDart,R_WH_016_Bhopal
80135,1/20/2024,Moradabad,WH_014,1/22/2024,Electronics,164.3,Shadowfax,R_WH_014_Moradabad
80136,5/10/2025,Varanasi,WH_009,5/14/2025,Industrial Supplies,895.85,IndiaPost,R_WH_009_Varanasi
80137,1/16/2023,Allahabad,WH_011,1/16/2023,Automotive,1431.27,Shadowfax,R_WH_011_Allahabad
80138,2/6/2023,Jaipur,WH_020,2/10/2023,Automotive,914.86,XpressBees,R_WH_020_Jaipur
80139,2/25/2024,Allahabad,WH_001,2/27/2024,Home & Kitchen,984.49,IndiaPost,R_WH_001_Allahabad
80140,6/21/2025,Agra,WH_004,6/24/2025,Electronics,627.86,Shadowfax,R_WH_004_Agra
80141,10/23/2023,Vasai-Virar,WH_015,10/24/2023,Jewellery,177.21,DTDC,R_WH_015_Vasai-Virar
80142,3/10/2024,Gurugram,WH_003,3/11/2024,Home & Kitchen,2157.95,IndiaPost,R_WH_003_Gurugram
80143,11/16/2023,Srinagar,WH_012,11/19/2023,Appliances,913.66,Delhivery,R_WH_012_Srinagar
80144,1/6/2025,Jabalpur,WH_005,1/11/2025,Mobile & Accessories,2031.75,XpressBees,R_WH_005_Jabalpur
80145,9/17/2024,Chandigarh,WH_005,9/23/2024,Office Products,1272.05,EcomExpress,R_WH_005_Chandigarh
80146,6/17/2024,Srinagar,WH_014,6/24/2024,Beauty & Personal Care,1579.36,IndiaPost,R_WH_014_Srinagar
80147,10/26/2023,Visakhapatnam,WH_013,10/30/2023,Electronics,1669.03,DTDC,R_WH_013_Visakhapatnam
80148,7/27/2024,Ahmedabad,WH_020,7/30/2024,Toys & Baby,115.08,EcomExpress,R_WH_020_Ahmedabad
80149,11/24/2024,Amritsar,WH_018,11/27/2024,Sports & Fitness,1561.99,AmazonLogistics,R_WH_018_Amritsar
80150,7/11/2025,Faridabad,WH_018,7/14/2025,Industrial Supplies,2433.27,BlueDart,R_WH_018_Faridabad
80151,3/7/2025,Nashik,WH_014,3/9/2025,Footwear,3217.34,IndiaPost,R_WH_014_Nashik
80152,1/16/2023,Nagpur,WH_009,1/20/2023,Books,3092.54,BlueDart,R_WH_009_Nagpur
80153,9/7/2025,Lucknow,WH_003,9/10/2025,Jewellery,925.76,Shadowfax,R_WH_003_Lucknow
80154,1/30/2024,Jabalpur,WH_010,2/2/2024,Beauty & Personal Care,1053.53,XpressBees,R_WH_010_Jabalpur
80155,10/4/2023,Pimpri-Chinchwad,WH_016,10/8/2023,Mobile & Accessories,1349.72,BlueDart,R_WH_016_Pimpri-Chinchwad
80156,10/10/2024,Srinagar,WH_020,10/15/2024,Industrial Supplies,2354.97,BlueDart,R_WH_020_Srinagar
80157,10/10/2023,Delhi,WH_010,10/14/2023,Jewellery,467.75,BlueDart,R_WH_010_Delhi
80158,9/30/2024,Ludhiana,WH_010,10/5/2024,Fashion-Men,1247.51,DTDC,R_WH_010_Ludhiana
80159,9/25/2025,Indore,WH_011,9/26/2025,Books,488.71,IndiaPost,R_WH_011_Indore
80160,3/27/2023,Indore,WH_001,3/31/2023,Office Products,134.46,XpressBees,R_WH_001_Indore
80161,7/26/2023,Gurugram,WH_017,8/2/2023,Industrial Supplies,103.26,DTDC,R_WH_017_Gurugram
80162,5/24/2025,Lucknow,WH_009,5/27/2025,Sports & Fitness,1108.05,BlueDart,R_WH_009_Lucknow
80163,10/24/2024,Allahabad,WH_016,10/30/2024,Grocery,1331.51,Delhivery,R_WH_016_Allahabad
80164,7/16/2024,Surat,WH_006,7/25/2024,Grocery,1030.08,DTDC,R_WH_006_Surat
80165,4/21/2024,Hyderabad,WH_009,4/21/2024,Health,3145.3,DTDC,R_WH_009_Hyderabad
80166,1/12/2025,Dhanbad,WH_004,1/12/2025,Toys & Baby,132.39,XpressBees,R_WH_004_Dhanbad
80167,8/14/2024,Moradabad,WH_012,8/18/2024,Grocery,248.34,Delhivery,R_WH_012_Moradabad
80168,5/11/2023,Howrah,WH_012,5/12/2023,Sports & Fitness,2013.79,DTDC,R_WH_012_Howrah
80169,2/4/2024,Indore,WH_012,2/8/2024,Health,858.59,Shadowfax,R_WH_012_Indore
80170,5/16/2023,Moradabad,WH_017,5/21/2023,Industrial Supplies,944.84,IndiaPost,R_WH_017_Moradabad
80171,12/12/2023,Moradabad,WH_003,12/16/2023,Mobile & Accessories,528.27,IndiaPost,R_WH_003_Moradabad
80172,6/19/2023,Varanasi,WH_002,6/24/2023,Stationery,1277.1,IndiaPost,R_WH_002_Varanasi
80173,8/26/2025,Jodhpur,WH_010,8/27/2025,Mobile & Accessories,978.68,AmazonLogistics,R_WH_010_Jodhpur
80174,6/12/2023,Indore,WH_012,6/15/2023,Industrial Supplies,254.32,EcomExpress,R_WH_012_Indore
80175,7/18/2023,Srinagar,WH_002,7/18/2023,Toys & Baby,782.64,Delhivery,R_WH_002_Srinagar
80176,8/25/2025,Srinagar,WH_007,8/29/2025,Jewellery,845.98,XpressBees,R_WH_007_Srinagar
80177,1/8/2025,Thane,WH_007,1/11/2025,Pet Supplies,1416.11,Delhivery,R_WH_007_Thane
80178,2/17/2023,Mumbai,WH_017,2/26/2023,Fashion-Men,206.01,Shadowfax,R_WH_017_Mumbai
80179,4/1/2025,Pune,WH_003,4/4/2025,Electronics,118.3,EcomExpress,R_WH_003_Pune
80180,2/3/2025,Faridabad,WH_011,2/11/2025,Appliances,147.27,Delhivery,R_WH_011_Faridabad
80181,5/8/2024,Moradabad,WH_015,5/10/2024,Automotive,2698.04,DTDC,R_WH_015_Moradabad
80182,4/13/2023,Meerut,WH_012,4/14/2023,Jewellery,1313.97,Shadowfax,R_WH_012_Meerut
80183,7/1/2024,Nashik,WH_015,7/3/2024,Mobile & Accessories,354.71,DTDC,R_WH_015_Nashik
80184,1/6/2023,Raipur,WH_014,1/6/2023,Books,1459.96,Delhivery,R_WH_014_Raipur
80185,12/11/2024,Patna,WH_019,12/12/2024,Sports & Fitness,751.1,Shadowfax,R_WH_019_Patna
80186,1/12/2023,Kanpur,WH_007,1/16/2023,Fashion-Men,488.84,EcomExpress,R_WH_007_Kanpur
80187,4/13/2023,Nagpur,WH_011,4/17/2023,Electronics,934.82,Delhivery,R_WH_011_Nagpur
80188,11/29/2024,Bhopal,WH_016,12/5/2024,Home & Kitchen,950.88,Shadowfax,R_WH_016_Bhopal
80189,4/12/2025,Vasai-Virar,WH_008,4/16/2025,Beauty & Personal Care,1493.33,DTDC,R_WH_008_Vasai-Virar
80190,11/20/2024,Jaipur,WH_006,11/22/2024,Stationery,336.05,Shadowfax,R_WH_006_Jaipur
80191,3/2/2024,Chandigarh,WH_002,3/6/2024,Office Products,3248.37,EcomExpress,R_WH_002_Chandigarh
80192,6/20/2023,Dhanbad,WH_002,6/27/2023,Books,4494.75,IndiaPost,R_WH_002_Dhanbad
80193,11/19/2024,Bhiwandi,WH_016,12/1/2024,Home & Kitchen,605.99,BlueDart,R_WH_016_Bhiwandi
80194,3/30/2023,Pimpri-Chinchwad,WH_018,4/3/2023,Beauty & Personal Care,2503.89,Shadowfax,R_WH_018_Pimpri-Chinchwad
80195,12/16/2024,Moradabad,WH_003,12/17/2024,Toys & Baby,217.22,XpressBees,R_WH_003_Moradabad
80196,3/14/2024,Lucknow,WH_010,3/15/2024,Fashion-Women,293.14,Shadowfax,R_WH_010_Lucknow
80197,12/13/2023,Kolkata,WH_008,12/16/2023,Office Products,1509.26,Delhivery,R_WH_008_Kolkata
80198,5/4/2025,Nashik,WH_017,5/8/2025,Office Products,1134.23,EcomExpress,R_WH_017_Nashik
80199,7/30/2023,Kanpur,WH_016,8/3/2023,Books,960.77,EcomExpress,R_WH_016_Kanpur
80200,12/25/2024,Bhopal,WH_005,12/27/2024,Fashion-Women,810.79,BlueDart,R_WH_005_Bhopal
80201,3/9/2024,Lucknow,WH_018,3/13/2024,Health,1186.24,Delhivery,R_WH_018_Lucknow
80202,6/16/2024,Varanasi,WH_015,6/21/2024,Electronics,1017.13,EcomExpress,R_WH_015_Varanasi
80203,8/22/2024,Jodhpur,WH_005,8/26/2024,Fashion-Women,2022.01,AmazonLogistics,R_WH_005_Jodhpur
80204,6/8/2024,Jodhpur,WH_012,6/12/2024,Automotive,331.62,EcomExpress,R_WH_012_Jodhpur
80205,3/1/2024,Ahmedabad,WH_020,3/2/2024,Health,898.36,AmazonLogistics,R_WH_020_Ahmedabad
80206,9/22/2025,Visakhapatnam,WH_002,9/26/2025,Stationery,1833.38,Shadowfax,R_WH_002_Visakhapatnam
80207,4/30/2023,Amritsar,WH_005,5/2/2023,Fashion-Men,3291.47,Shadowfax,R_WH_005_Amritsar
80208,6/29/2025,Bhopal,WH_016,7/2/2025,Office Products,650.82,XpressBees,R_WH_016_Bhopal
80209,6/27/2023,Gurugram,WH_003,6/30/2023,Electronics,2629.64,XpressBees,R_WH_003_Gurugram
80210,5/9/2023,Chandigarh,WH_005,5/11/2023,Appliances,3697.95,BlueDart,R_WH_005_Chandigarh
80211,7/16/2024,Surat,WH_009,7/19/2024,Furniture,650.29,Delhivery,R_WH_009_Surat
80212,2/22/2024,Dhanbad,WH_007,2/27/2024,Mobile & Accessories,457.25,Delhivery,R_WH_007_Dhanbad
80213,7/7/2024,Allahabad,WH_009,7/11/2024,Grocery,825.41,DTDC,R_WH_009_Allahabad
80214,11/14/2023,Rajkot,WH_009,11/26/2023,Automotive,519.21,Delhivery,R_WH_009_Rajkot
80215,8/29/2024,Aligarh,WH_012,8/31/2024,Beauty & Personal Care,373.52,Shadowfax,R_WH_012_Aligarh
80216,8/30/2023,Moradabad,WH_017,9/3/2023,Industrial Supplies,886.84,Delhivery,R_WH_017_Moradabad
80217,7/16/2025,Gurugram,WH_007,7/21/2025,Jewellery,2438.57,IndiaPost,R_WH_007_Gurugram
80218,12/22/2023,Varanasi,WH_007,12/24/2023,Beauty & Personal Care,2357.67,IndiaPost,R_WH_007_Varanasi
80219,7/26/2024,Thane,WH_012,7/29/2024,Automotive,1284.43,Delhivery,R_WH_012_Thane
80220,5/10/2025,Rajkot,WH_002,5/13/2025,Pet Supplies,1897.69,DTDC,R_WH_002_Rajkot
80221,3/13/2024,Ludhiana,WH_012,3/16/2024,Industrial Supplies,400.39,Shadowfax,R_WH_012_Ludhiana
80222,4/2/2024,Ludhiana,WH_010,4/5/2024,Fashion-Women,266.92,BlueDart,R_WH_010_Ludhiana
80223,3/17/2024,Nashik,WH_009,3/19/2024,Grocery,2899.19,DTDC,R_WH_009_Nashik
80224,9/7/2025,Indore,WH_019,9/11/2025,Toys & Baby,504.44,EcomExpress,R_WH_019_Indore
80225,8/16/2023,Howrah,WH_005,8/19/2023,Automotive,924.25,XpressBees,R_WH_005_Howrah
80226,2/12/2024,Chennai,WH_011,2/21/2024,Fashion-Men,132.08,BlueDart,R_WH_011_Chennai
80227,7/11/2025,Gurugram,WH_009,7/13/2025,Sports & Fitness,1169.81,Delhivery,R_WH_009_Gurugram
80228,10/4/2023,Visakhapatnam,WH_006,10/8/2023,Appliances,541.93,IndiaPost,R_WH_006_Visakhapatnam
80229,1/18/2023,Kalyan-Dombivli,WH_009,1/24/2023,Pet Supplies,197.47,EcomExpress,R_WH_009_Kalyan-Dombivli
80230,1/25/2025,Nashik,WH_014,1/27/2025,Pet Supplies,3111.29,DTDC,R_WH_014_Nashik
80231,11/7/2023,Gurugram,WH_003,11/11/2023,Health,2173.41,DTDC,R_WH_003_Gurugram
80232,11/20/2023,Thane,WH_006,11/21/2023,Electronics,241.29,DTDC,R_WH_006_Thane
80233,2/16/2023,Kalyan-Dombivli,WH_011,2/19/2023,Home & Kitchen,121.51,Shadowfax,R_WH_011_Kalyan-Dombivli
80234,4/1/2025,Indore,WH_018,4/4/2025,Books,1973.74,XpressBees,R_WH_018_Indore
