transport_id,warehouse_id,city,distance_km,fuel_cost_per_km_inr,courier_partner,courier_on_time_rate,estimated_transit_hours
66,WH_003,Gurugram,243.9,1.32,Delhivery,0.905,11.7
67,WH_002,Mumbai,23.2,2.02,XpressBees,0.892,2.1
68,WH_007,Gurugram,208.3,1.22,Delhivery,0.906,9.4
69,WH_002,Coimbatore,178.1,2.91,AmazonLogistics,0.886,8.2
70,WH_014,Varanasi,131.9,1.98,DTDC,0.921,12.4
71,WH_012,Moradabad,97.7,2.89,Delhivery,0.916,6.3
72,WH_004,Lucknow,69.8,2.57,Delhivery,0.881,22.9
73,WH_001,Mumbai,214.9,3.65,IndiaPost,0.932,6.3
74,WH_002,Aligarh,53.2,0.98,XpressBees,0.908,11.1
75,WH_002,Hyderabad,144.4,2.87,Delhivery,0.844,3.9
76,WH_019,Kanpur,26.1,1.38,AmazonLogistics,0.957,17.8
77,WH_001,Vadodara,228.3,3.18,BlueDart,0.949,8
78,WH_014,Chennai,162.8,2,Delhivery,0.911,5.6
79,WH_011,Gwalior,191.9,1.25,Shadowfax,0.853,28.9
80,WH_003,Ranchi,310.2,3.19,AmazonLogistics,0.866,7.8
81,WH_003,Ahmedabad,144.2,1.71,DTDC,0.785,5.9
82,WH_008,Coimbatore,143.5,2.66,AmazonLogistics,0.835,19.8
83,WH_020,Madurai,261.8,3.17,EcomExpress,0.69,8.5
84,WH_011,Pimpri-Chinchwad,148.7,2.65,AmazonLogistics,0.881,4.6
85,WH_008,Kanpur,169.8,1.57,EcomExpress,0.888,5.5
86,WH_001,Dhanbad,128.6,2.09,BlueDart,0.695,13.3
87,WH_016,Faridabad,190.4,2.06,EcomExpress,0.806,26.8
88,WH_015,Rajkot,38.9,3.59,EcomExpress,0.871,3.7
89,WH_006,Gurugram,93.8,1.06,AmazonLogistics,0.877,4.6
90,WH_002,Jabalpur,179.2,3.63,EcomExpress,0.99,6.8
91,WH_015,Howrah,117.8,2.47,BlueDart,0.826,3.8
92,WH_018,Vasai-Virar,366.4,2.96,DTDC,0.848,21.3
93,WH_008,Gurugram,114.7,3.7,AmazonLogistics,0.819,5.4
94,WH_020,Gwalior,38.8,1.02,BlueDart,0.91,5.7
95,WH_016,Lucknow,52.4,1.34,BlueDart,0.919,3.1
96,WH_008,Indore,54.1,3.45,BlueDart,0.835,2.2
97,WH_015,Faridabad,129.6,3.56,BlueDart,0.911,6.1
98,WH_010,Bhubaneswar,82.1,2.01,XpressBees,0.929,7.7
99,WH_005,Nagpur,88.6,3.46,Delhivery,0.843,3.1
100,WH_011,Visakhapatnam,46.1,1.16,IndiaPost,0.802,10
101,WH_006,Gurugram,123.5,1.27,BlueDart,0.826,18.6
102,WH_001,Bengaluru,210.4,3.56,Delhivery,0.907,13.1
103,WH_012,Kanpur,148.3,1.51,BlueDart,0.729,10.7
104,WH_019,Allahabad,91.4,2.88,Shadowfax,0.97,11.4
105,WH_006,Nagpur,99.6,1.33,XpressBees,0.826,2.6
106,WH_002,Gurugram,129.8,1.82,Delhivery,0.895,7.2
107,WH_002,Chennai,563.8,2.58,Delhivery,0.821,24.2
108,WH_004,Vadodara,125.8,3.68,Delhivery,0.977,5.5
109,WH_014,Agra,203.6,2.45,XpressBees,0.801,15.3
110,WH_001,Bhiwandi,104.8,2.34,XpressBees,0.916,25.4
111,WH_018,Bhopal,143.7,3.27,BlueDart,0.914,8.5
112,WH_002,Jaipur,145.5,3.71,Shadowfax,0.815,5.3
113,WH_016,Howrah,75.5,1.33,BlueDart,0.944,11.3
114,WH_007,Bhubaneswar,366.7,3.86,IndiaPost,0.827,11.1
115,WH_001,Delhi,350.9,2.93,XpressBees,0.988,13.5
116,WH_003,Vijayawada,155.5,2.38,BlueDart,0.91,14
117,WH_018,Ghaziabad,55.7,1.18,BlueDart,0.869,12.3
118,WH_001,Nashik,273.8,3.84,DTDC,0.832,17.1
119,WH_004,Madurai,296.7,1.61,Delhivery,0.805,10.3
120,WH_016,Kalyan-Dombivli,162.8,1.6,BlueDart,0.914,27.3
121,WH_019,Vijayawada,200.3,2.88,BlueDart,0.831,27.7
122,WH_006,Meerut,89.6,2.66,BlueDart,0.99,23
123,WH_005,Vadodara,97,3.1,XpressBees,0.876,14.4
124,WH_020,Surat,144.7,3.04,EcomExpress,0.775,16.8
125,WH_017,Raipur,233.9,2.07,XpressBees,0.88,30
126,WH_014,Agra,567.3,1.22,Shadowfax,0.799,24.8
127,WH_019,Jabalpur,312.2,1.53,Delhivery,0.863,21.9
128,WH_011,Moradabad,125.3,3.71,Shadowfax,0.852,8.2
129,WH_012,Srinagar,471.7,2.33,IndiaPost,0.834,17.1
130,WH_018,Patna,19.1,1.8,XpressBees,0.909,1
131,WH_012,Mangalore,121.8,1.81,IndiaPost,0.888,11.7
132,WH_010,Vadodara,71,2.92,EcomExpress,0.945,17.9
133,WH_005,Madurai,65.5,1.03,IndiaPost,0.871,5.3
134,WH_004,Howrah,18.7,1.26,BlueDart,0.811,3.5
135,WH_001,Vasai-Virar,96.3,2.69,Shadowfax,0.85,25.1
136,WH_003,Ahmedabad,4.8,3.44,Delhivery,0.889,2.4
137,WH_011,Vadodara,148.5,1.57,DTDC,0.99,8.3
138,WH_005,Gurugram,317.9,3.22,Shadowfax,0.836,15.3
139,WH_007,Allahabad,56.7,2.46,DTDC,0.943,2.3
140,WH_008,Patna,308.6,3.35,AmazonLogistics,0.836,31.3
141,WH_004,Gurugram,51.6,1.66,IndiaPost,0.938,4.5
142,WH_010,Srinagar,247.6,2.87,XpressBees,0.836,19.4
143,WH_013,Coimbatore,169.1,2.15,Delhivery,0.814,13.5
144,WH_020,Visakhapatnam,88.5,2.52,DTDC,0.876,29.7
145,WH_020,Visakhapatnam,69,2.09,DTDC,0.852,5.4
146,WH_005,Visakhapatnam,212.5,1.69,Delhivery,0.879,12.5
147,WH_005,Nashik,280.7,2.54,AmazonLogistics,0.99,27.6
148,WH_005,Thane,47.8,2.63,AmazonLogistics,0.886,3.6
149,WH_020,Hyderabad,98,3.06,IndiaPost,0.792,6.2
150,WH_019,Rajkot,82.5,1.78,IndiaPost,0.883,2.3
151,WH_005,Faridabad,122,3.51,XpressBees,0.846,32.8
152,WH_017,Nagpur,349.7,2.22,Delhivery,0.846,11.6
153,WH_011,Ghaziabad,117.8,3.76,AmazonLogistics,0.846,11.1
154,WH_017,Delhi,109.7,1.02,Delhivery,0.904,35.9
155,WH_009,Gurugram,300.6,2,BlueDart,0.802,9.9
156,WH_015,Nashik,25.7,2.03,EcomExpress,0.822,23.8
157,WH_009,Bhopal,471.2,3.27,AmazonLogistics,0.831,18.2
158,WH_005,Coimbatore,17.5,1.82,Delhivery,0.884,16
159,WH_001,Pune,434.2,2.75,Shadowfax,0.945,14.8
160,WH_020,Amritsar,24.3,3.39,AmazonLogistics,0.972,5.1
161,WH_011,Amritsar,139.7,3.03,Shadowfax,0.79,25
162,WH_009,Vasai-Virar,47.6,3.51,DTDC,0.85,6.8
163,WH_004,Thane,28,1.64,BlueDart,0.891,0.8
164,WH_009,Jodhpur,192.8,2.11,BlueDart,0.914,5.3
165,WH_018,Vijayawada,335.3,2.22,Shadowfax,0.951,11.3
166,WH_013,Vijayawada,51.2,3.83,BlueDart,0.865,1.4
167,WH_016,Jodhpur,243.7,3.77,AmazonLogistics,0.935,18.1
168,WH_007,Bhubaneswar,107.1,1.88,Delhivery,0.948,8.4
169,WH_003,Kanpur,532.7,3.38,BlueDart,0.858,14.9
170,WH_013,Srinagar,361.8,3.46,XpressBees,0.898,22.2
171,WH_008,Visakhapatnam,255.7,1.84,Delhivery,0.884,11
172,WH_001,Vijayawada,226.9,3.21,EcomExpress,0.778,18.7
173,WH_012,Howrah,97.1,2.07,DTDC,0.897,8.5
174,WH_017,Pimpri-Chinchwad,154.3,3.29,XpressBees,0.905,29
175,WH_014,Srinagar,84.4,1.82,IndiaPost,0.882,44.1
176,WH_016,Thane,107.8,0.96,IndiaPost,0.883,5.9
177,WH_007,Ludhiana,294.9,2.75,BlueDart,0.842,11.8
178,WH_015,Nashik,118.9,3.24,Delhivery,0.898,14.2
179,WH_015,Kalyan-Dombivli,131.3,2.4,BlueDart,0.903,4.9
180,WH_008,Howrah,85.4,3,Shadowfax,0.855,4.9
181,WH_019,Vadodara,283.9,3.65,EcomExpress,0.948,8.7
182,WH_006,Dhanbad,291.9,0.93,BlueDart,0.836,24.6
183,WH_015,Mumbai,293.4,2.78,Delhivery,0.837,8.1
184,WH_010,Aligarh,222,3.46,XpressBees,0.868,50.8
185,WH_013,Bhopal,16.4,1.1,EcomExpress,0.957,23.2
186,WH_017,Kolkata,240,3.55,DTDC,0.776,15.7
187,WH_009,Srinagar,141.9,2.42,EcomExpress,0.787,8.2
188,WH_016,Bhopal,122.2,2.82,Delhivery,0.828,7
189,WH_007,Dhanbad,16.8,3.56,Delhivery,0.806,6.6
190,WH_003,Ghaziabad,203.3,3.84,BlueDart,0.969,8.9
191,WH_003,Surat,94.4,3.57,BlueDart,0.956,11.3
192,WH_004,Gwalior,54.4,2.82,BlueDart,0.902,6.3
193,WH_008,Kalyan-Dombivli,59.5,2.7,EcomExpress,0.841,4.9
194,WH_003,Surat,8.5,3.07,Delhivery,0.797,5
195,WH_013,Rajkot,201.5,3.63,XpressBees,0.899,5.4
196,WH_006,Thane,71,3.29,DTDC,0.79,5.1
197,WH_014,Meerut,184,2.65,EcomExpress,0.843,11.3
198,WH_012,Mangalore,110.3,1.8,BlueDart,0.78,11.3
199,WH_015,Patna,159.1,1.56,AmazonLogistics,0.863,6.6
200,WH_010,Bengaluru,46.3,1.16,Delhivery,0.954,23.6
201,WH_004,Bhubaneswar,77,1.39,XpressBees,0.837,19.3
202,WH_013,Pune,388.7,3.11,Shadowfax,0.949,11.7
203,WH_004,Jodhpur,110.8,2.93,IndiaPost,0.939,5
204,WH_003,Chennai,328.8,3.47,BlueDart,0.835,18.9
205,WH_010,Amritsar,184.5,1.1,Delhivery,0.886,15.2
206,WH_017,Ghaziabad,139.4,2.23,AmazonLogistics,0.923,4.7
207,WH_004,Dhanbad,176,3.38,EcomExpress,0.909,27.7
208,WH_020,Madurai,31.4,1.45,XpressBees,0.835,12.3
209,WH_006,Vasai-Virar,247.2,3.06,IndiaPost,0.799,13.6
210,WH_004,Nashik,49.7,1.64,XpressBees,0.857,3.1
211,WH_011,Kanpur,47.7,3.84,XpressBees,0.953,5.4
212,WH_005,Ghaziabad,65,1.87,AmazonLogistics,0.84,3.3
213,WH_003,Amritsar,231,2.32,BlueDart,0.848,8.5
214,WH_006,Kolkata,168.1,2.69,DTDC,0.858,10
215,WH_007,Pune,214.7,1.37,EcomExpress,0.944,13.2
216,WH_014,Coimbatore,14.6,3.76,DTDC,0.943,23.6
217,WH_013,Surat,270.8,2.84,Shadowfax,0.985,16.9
218,WH_008,Vasai-Virar,27,1.43,Shadowfax,0.792,3.2
219,WH_012,Chandigarh,266.9,3.81,XpressBees,0.936,7.9
220,WH_002,Coimbatore,128.4,2.96,DTDC,0.823,4.7
221,WH_015,Dhanbad,266.5,3.35,EcomExpress,0.99,9
222,WH_009,Delhi,164.5,3.76,XpressBees,0.863,7.3
223,WH_015,Ludhiana,38,3.8,DTDC,0.827,7.9
224,WH_015,Bhubaneswar,214.4,2.26,EcomExpress,0.918,19.7
225,WH_008,Pune,71.9,3.05,IndiaPost,0.84,4.7
226,WH_017,Jabalpur,49.7,3.13,BlueDart,0.915,27
227,WH_001,Bhiwandi,379.9,1.01,BlueDart,0.918,10.7
228,WH_001,Meerut,184.7,3.31,BlueDart,0.923,41.5
229,WH_003,Jaipur,197.8,2.44,XpressBees,0.832,13.1
230,WH_020,Moradabad,298.3,3.22,EcomExpress,0.753,8.5
231,WH_007,Agra,125.9,3.45,Shadowfax,0.849,4.8
232,WH_019,Pune,34.9,1.23,XpressBees,0.951,8.3
233,WH_017,Varanasi,201.5,3.59,Delhivery,0.851,8.3
234,WH_009,Jodhpur,257.9,3.89,BlueDart,0.931,15.6
235,WH_005,Varanasi,54.8,1.55,XpressBees,0.775,4.8
236,WH_003,Aligarh,145,2.78,Shadowfax,0.917,12.3
237,WH_010,Ranchi,84.2,2.89,IndiaPost,0.922,3.7
238,WH_015,Patna,230.6,1.41,XpressBees,0.834,13.8
239,WH_008,Vasai-Virar,133.5,3.63,AmazonLogistics,0.907,12.1
240,WH_009,Aligarh,84.6,1.66,IndiaPost,0.874,3
241,WH_017,Jodhpur,456.2,2.36,XpressBees,0.81,17.7
242,WH_018,Bhiwandi,113.9,1.44,IndiaPost,0.826,5.6
243,WH_003,Raipur,44.4,3.4,DTDC,0.816,10.5
244,WH_007,Ghaziabad,97.4,3.88,BlueDart,0.931,33.5
245,WH_006,Moradabad,52.9,1.82,Shadowfax,0.921,4.1
246,WH_001,Ranchi,132.5,3.41,DTDC,0.874,10.3
247,WH_011,Nagpur,517,1.7,Shadowfax,0.876,13.6
248,WH_012,Faridabad,72.1,2.97,Delhivery,0.92,3.6
249,WH_015,Meerut,184.5,1.09,IndiaPost,0.908,7.2
250,WH_004,Coimbatore,126.9,3.85,DTDC,0.782,5
251,WH_016,Agra,101.6,3.39,AmazonLogistics,0.924,10
252,WH_015,Raipur,76.7,1.03,DTDC,0.853,6.1
253,WH_012,Agra,285.9,1.02,XpressBees,0.847,13.3
254,WH_016,Kolkata,174.1,1.45,BlueDart,0.828,17.3
255,WH_019,Varanasi,228.4,1.79,EcomExpress,0.883,35.1
256,WH_005,Raipur,76.4,1.08,IndiaPost,0.931,15.8
257,WH_002,Pimpri-Chinchwad,201.1,2.99,IndiaPost,0.931,5.3
258,WH_001,Kanpur,283.3,2.58,XpressBees,0.849,19.9
259,WH_011,Faridabad,25.7,1.24,Delhivery,0.82,5.2
260,WH_005,Jabalpur,233,3.03,IndiaPost,0.917,8
261,WH_019,Rajkot,18.2,3.77,XpressBees,0.964,3.2
262,WH_018,Pune,161.4,1.11,EcomExpress,0.837,15.9
263,WH_016,Jodhpur,235.9,2.89,XpressBees,0.964,45
264,WH_010,Moradabad,100.6,3.59,EcomExpress,0.821,6.3
265,WH_013,Hyderabad,129.9,1.6,Shadowfax,0.869,15.8
266,WH_020,Meerut,111.5,1.39,BlueDart,0.781,6
267,WH_010,Thane,106.6,3.53,BlueDart,0.952,8.3
268,WH_010,Jodhpur,61.7,1.24,EcomExpress,0.872,6.3
269,WH_006,Amritsar,469.5,1.37,BlueDart,0.939,28
270,WH_013,Allahabad,47,2,AmazonLogistics,0.944,3.3
271,WH_014,Bhubaneswar,19.2,1.37,AmazonLogistics,0.859,8.1
272,WH_017,Jaipur,64.6,2.38,AmazonLogistics,0.926,9.4
273,WH_009,Ludhiana,44.3,2.76,BlueDart,0.821,5.8
274,WH_001,Rajkot,450,3.74,DTDC,0.897,15.4
275,WH_007,Delhi,115.2,2.48,IndiaPost,0.927,3.1
276,WH_006,Pune,50.5,3.16,Delhivery,0.831,8.3
277,WH_001,Vasai-Virar,86.9,0.95,XpressBees,0.871,9.4
278,WH_003,Srinagar,149.3,1.23,EcomExpress,0.953,8.7
279,WH_018,Varanasi,57.3,1.36,Delhivery,0.761,15.5
280,WH_017,Meerut,197.1,3.45,Shadowfax,0.96,11.7
281,WH_019,Nagpur,237.7,2.97,DTDC,0.816,7.1
282,WH_006,Allahabad,43.9,1.65,XpressBees,0.922,9
283,WH_020,Allahabad,4.7,0.97,Delhivery,0.871,22.2
284,WH_010,Faridabad,140.4,3.77,AmazonLogistics,0.849,14.5
285,WH_016,Bengaluru,80.4,2.22,XpressBees,0.931,3
286,WH_006,Patna,192.7,3.54,AmazonLogistics,0.867,5
287,WH_009,Mangalore,332.9,2.36,DTDC,0.979,13.9
288,WH_012,Nashik,63.2,2.69,IndiaPost,0.777,10.2
289,WH_015,Faridabad,211.8,2.27,Delhivery,0.844,9
290,WH_003,Lucknow,388.9,2.48,BlueDart,0.828,14.4
291,WH_016,Thane,290.8,1.52,DTDC,0.829,34.2
292,WH_008,Mangalore,156.9,2.52,AmazonLogistics,0.833,8.9
293,WH_009,Kolkata,172.4,1.76,Shadowfax,0.881,6.4
294,WH_007,Ludhiana,332.6,2.06,EcomExpress,0.961,12.8
295,WH_009,Bhopal,77.2,3.75,Shadowfax,0.869,8
296,WH_010,Bhiwandi,168.9,3.89,IndiaPost,0.96,6.5
297,WH_008,Jabalpur,15.6,1.67,IndiaPost,0.854,13.1
298,WH_011,Surat,149.7,1.02,DTDC,0.891,16
299,WH_004,Bengaluru,43,2.54,Delhivery,0.916,4.5
300,WH_005,Thane,226.3,3.01,AmazonLogistics,0.861,28.7
301,WH_007,Vadodara,111,2.55,DTDC,0.819,13.9
302,WH_015,Rajkot,266.8,3.74,DTDC,0.859,6.9
303,WH_009,Bhiwandi,105.1,2.04,XpressBees,0.891,9.9
304,WH_016,Bhopal,198.7,1.66,XpressBees,0.893,11.3
305,WH_019,Hyderabad,107.6,1.13,BlueDart,0.814,4.3
306,WH_013,Srinagar,86.8,0.93,Delhivery,0.862,8.2
307,WH_011,Thane,96.4,2.09,Shadowfax,0.813,2.7
308,WH_017,Kolkata,42,3.77,XpressBees,0.805,2.8
309,WH_020,Jaipur,72.3,2.6,Shadowfax,0.837,3.3
310,WH_016,Vasai-Virar,149.5,3.29,EcomExpress,0.766,17
311,WH_002,Ranchi,137.9,3.69,BlueDart,0.872,7
312,WH_003,Howrah,329.1,3.33,XpressBees,0.939,15.5
313,WH_005,Howrah,19.9,3.33,EcomExpress,0.937,27.7
314,WH_010,Varanasi,144.6,3.86,Shadowfax,0.963,6.7
315,WH_019,Gurugram,83.1,1.41,XpressBees,0.859,4.5
316,WH_012,Jodhpur,211,2.36,IndiaPost,0.972,5.5
317,WH_004,Raipur,106.6,1.16,Shadowfax,0.777,19.8
318,WH_015,Kanpur,325.5,3.23,Shadowfax,0.909,14.4
319,WH_008,Chennai,330,1.33,Shadowfax,0.89,9.2
320,WH_007,Chennai,263.8,2.44,Shadowfax,0.9,21
321,WH_020,Indore,101.9,1.51,XpressBees,0.793,2.8
322,WH_008,Nagpur,157.3,2.01,Shadowfax,0.942,5.8
323,WH_012,Raipur,263.7,3.21,IndiaPost,0.796,9.4
324,WH_013,Bhiwandi,345.6,3.06,XpressBees,0.933,21.6
325,WH_005,Gwalior,38.5,2.76,EcomExpress,0.845,1
326,WH_016,Jaipur,94.8,2.96,EcomExpress,0.826,2.6
327,WH_015,Meerut,194,2.82,EcomExpress,0.822,6.1
328,WH_018,Srinagar,76.9,1.74,IndiaPost,0.792,37.3
329,WH_004,Aligarh,273.1,2.2,DTDC,0.851,15.2
330,WH_018,Amritsar,270.5,3.69,Shadowfax,0.796,16.1
331,WH_013,Thane,163.5,0.9,Shadowfax,0.946,8.7
332,WH_008,Kanpur,123.9,1.39,XpressBees,0.851,14.4
333,WH_006,Chandigarh,187.5,3,XpressBees,0.937,7.4
334,WH_010,Chennai,303.7,3.17,EcomExpress,0.954,8
335,WH_004,Patna,349.6,2.46,EcomExpress,0.872,24.6
336,WH_010,Chandigarh,73.6,2.16,Delhivery,0.944,11.7
337,WH_005,Aligarh,46.9,2.15,DTDC,0.924,1.8
338,WH_002,Vasai-Virar,146.4,2.55,Delhivery,0.883,4
339,WH_014,Lucknow,228,2.31,IndiaPost,0.88,23.7
340,WH_013,Mumbai,26.1,3.07,EcomExpress,0.866,8.1
341,WH_013,Patna,25.3,0.99,DTDC,0.923,23.9
342,WH_014,Vadodara,224.2,1.66,XpressBees,0.99,12.1
343,WH_014,Amritsar,107.1,1.55,BlueDart,0.957,4.7
344,WH_001,Faridabad,96.8,1.68,Delhivery,0.845,7.9
345,WH_007,Kolkata,39.7,1.14,DTDC,0.829,1.2
346,WH_010,Varanasi,218.3,2.44,BlueDart,0.99,10.7
347,WH_005,Srinagar,535.9,2.4,EcomExpress,0.863,15.6
348,WH_014,Pune,82.7,1.23,EcomExpress,0.954,32.3
349,WH_006,Bengaluru,96.1,1.45,EcomExpress,0.944,14.6
350,WH_001,Kalyan-Dombivli,126.3,2.35,EcomExpress,0.888,14.9
351,WH_007,Patna,67.1,2.89,AmazonLogistics,0.914,26.1
352,WH_002,Nagpur,147.9,1.52,Shadowfax,0.875,13
353,WH_009,Ludhiana,101.6,3.68,BlueDart,0.913,5.3
354,WH_010,Meerut,100.2,3.15,AmazonLogistics,0.838,2.6
355,WH_002,Dhanbad,234.4,1.51,XpressBees,0.915,8.7
356,WH_016,Nagpur,93.6,1.26,Shadowfax,0.986,2.6
357,WH_017,Vijayawada,60.6,1.84,AmazonLogistics,0.884,2.3
358,WH_018,Allahabad,64.2,3.8,XpressBees,0.724,23.5
359,WH_009,Rajkot,81.9,1.86,BlueDart,0.771,2.1
360,WH_001,Vasai-Virar,30,2.41,BlueDart,0.861,5.3
361,WH_013,Vadodara,51.7,2.63,EcomExpress,0.939,26.7
362,WH_020,Nagpur,111.4,3.5,XpressBees,0.834,5.8
363,WH_018,Vasai-Virar,153.2,1.69,BlueDart,0.99,14.6
364,WH_015,Faridabad,21.8,2.31,BlueDart,0.913,19.8
365,WH_016,Agra,53.1,3.38,DTDC,0.776,11.1
366,WH_009,Kanpur,215.8,0.91,Shadowfax,0.881,5.7
367,WH_004,Visakhapatnam,310,2.59,DTDC,0.846,10.8
368,WH_007,Raipur,131.5,1.76,BlueDart,0.905,4.3
369,WH_009,Kalyan-Dombivli,269.3,2.88,XpressBees,0.958,19.8
370,WH_007,Vadodara,262.2,0.91,BlueDart,0.75,15.9
371,WH_009,Mangalore,203.2,1.27,AmazonLogistics,0.86,8
372,WH_007,Pimpri-Chinchwad,115,2.18,AmazonLogistics,0.882,7.6
373,WH_004,Raipur,270.6,1.02,Delhivery,0.902,24.3
374,WH_019,Jodhpur,254.7,1.13,EcomExpress,0.873,7.1
375,WH_014,Thane,13.2,2.8,AmazonLogistics,0.819,14.2
376,WH_008,Chennai,415,1.58,BlueDart,0.904,11.7
377,WH_007,Ranchi,129.2,1.19,BlueDart,0.827,6
378,WH_012,Madurai,128.1,2.28,XpressBees,0.89,3.3
379,WH_020,Coimbatore,70.7,2.38,Delhivery,0.897,2.8
380,WH_011,Amritsar,47.5,0.96,BlueDart,0.815,10
381,WH_002,Madurai,65.5,3.3,AmazonLogistics,0.835,2.6
382,WH_019,Surat,161.6,1.49,Shadowfax,0.759,5.3
383,WH_008,Vasai-Virar,87.1,1,Delhivery,0.958,7.4
384,WH_003,Delhi,257.8,1.21,BlueDart,0.85,10.8
385,WH_002,Raipur,326.9,3.83,DTDC,0.885,10.9
386,WH_006,Patna,331,2.47,XpressBees,0.987,28.1
387,WH_006,Howrah,17.4,3.68,BlueDart,0.79,7.5
388,WH_002,Dhanbad,117,1.48,XpressBees,0.936,13.6
389,WH_010,Howrah,51.6,1.38,EcomExpress,0.914,9.2
390,WH_012,Jaipur,227,3.49,BlueDart,0.98,20.2
391,WH_016,Jodhpur,157.9,3.5,Shadowfax,0.834,25.6
392,WH_018,Vasai-Virar,190.5,2.56,Shadowfax,0.907,8.1
