op_id,warehouse_id,date,avg_processing_time_hours,storage_cost_per_pallet_inr,workforce_available,shifts
56,WH_006,10/18/2023,10.48,60.3,270,2
57,WH_018,10/14/2024,2.83,369.07,247,2
58,WH_006,10/17/2024,5.2,133.68,144,3
59,WH_019,1/11/2023,1.78,324.73,100,2
60,WH_004,11/28/2024,6.69,125.84,42,2
61,WH_011,5/28/2024,6.14,433.95,23,3
62,WH_004,4/27/2025,5.13,57.03,359,2
63,WH_004,1/9/2024,9.6,229.82,109,3
64,WH_011,8/31/2023,1.02,397.12,128,2
65,WH_005,4/26/2023,9.45,67.34,155,2
66,WH_018,9/9/2023,4.82,119.31,236,2
67,WH_001,11/17/2023,8.29,108.27,174,1
68,WH_013,2/1/2023,9.6,288.52,347,2
69,WH_014,10/2/2023,7.32,264.35,214,2
70,WH_004,5/19/2023,8.78,83.67,89,2
71,WH_018,1/8/2023,9.77,138.81,85,2
72,WH_017,6/2/2025,4.16,350.87,23,2
73,WH_019,7/5/2023,7.22,127.8,126,2
74,WH_014,3/10/2025,7.35,438.21,22,1
75,WH_014,2/22/2023,6.61,312.3,102,2
76,WH_016,9/28/2025,4.71,362.35,65,2
77,WH_017,1/19/2024,4.6,320.34,310,3
78,WH_019,9/23/2024,4.48,399.08,95,2
79,WH_001,10/2/2023,6.99,214.86,29,3
80,WH_003,2/25/2023,5.25,260.98,356,2
81,WH_009,7/28/2024,8.41,470.28,163,2
82,WH_010,3/18/2025,7.69,103.66,361,2
83,WH_013,1/15/2025,6.67,102.44,308,1
84,WH_003,10/25/2023,3.31,314.44,338,2
85,WH_011,9/4/2024,6.3,390.29,370,2
86,WH_020,10/18/2024,2.79,433.35,360,3
87,WH_008,8/25/2024,5.93,130.27,149,3
88,WH_013,6/8/2023,2.54,228.81,186,3
89,WH_002,3/25/2023,8.78,97.12,22,3
90,WH_006,1/19/2023,6.23,438.44,140,1
91,WH_011,1/26/2025,3.32,444.13,61,3
92,WH_019,9/3/2024,7.58,464.14,73,2
93,WH_013,5/17/2024,5.16,250.48,246,2
94,WH_005,4/23/2024,6.53,215.83,286,3
95,WH_012,4/16/2025,6.71,415.38,294,2
96,WH_019,7/26/2024,6.58,414.12,211,2
97,WH_007,2/27/2025,9.27,248.28,321,3
98,WH_004,10/19/2024,9.62,54.4,174,1
99,WH_006,3/19/2024,3.98,274.59,96,3
100,WH_013,9/20/2023,2.87,435.56,69,2
101,WH_018,7/27/2024,11.28,281.78,383,3
102,WH_018,3/23/2025,5.06,380.48,383,3
103,WH_004,9/19/2024,3.85,185.28,284,2
104,WH_018,2/5/2024,6.5,205.08,156,3
105,WH_015,11/4/2023,2.45,91.76,394,2
106,WH_002,11/19/2023,9.42,464.72,335,2
107,WH_011,2/4/2024,8.81,453.75,22,2
108,WH_019,1/16/2023,5.45,170.8,235,2
109,WH_011,7/15/2023,9.6,358.59,63,2
110,WH_003,3/27/2023,9.03,95.61,333,1
111,WH_002,2/20/2023,8.42,415.55,299,1
112,WH_008,9/26/2025,4.94,263.29,24,2
113,WH_004,6/5/2023,6.61,385.14,241,2
114,WH_013,4/16/2024,3.99,136.71,317,2
115,WH_020,12/13/2024,4.86,243.93,20,2
116,WH_020,9/8/2023,8.5,273.16,264,2
117,WH_013,12/13/2023,8.71,455.61,273,2
118,WH_018,9/20/2025,9.5,72.7,253,2
119,WH_012,7/11/2025,2.14,296.04,364,3
120,WH_001,3/13/2025,9.44,261.54,331,2
121,WH_002,1/15/2023,2.42,453.26,137,3
122,WH_009,9/6/2024,6.81,156.29,54,3
123,WH_012,4/16/2025,5.74,499.89,279,2
124,WH_019,7/25/2025,5.36,426.96,30,2
125,WH_010,10/9/2023,6.89,339.52,31,3
126,WH_005,3/13/2025,5.19,293.24,243,2
127,WH_015,4/13/2024,7.43,251.16,147,2
128,WH_005,10/23/2023,6.07,287.79,225,2
129,WH_016,3/16/2023,4.57,383.86,307,2
130,WH_020,11/11/2023,6.39,181.72,34,2
131,WH_017,12/9/2023,4.01,234.86,46,2
132,WH_005,2/6/2024,4.36,411.31,46,2
133,WH_002,7/12/2024,7.62,210.93,330,2
134,WH_012,8/3/2023,7.82,282,231,2
135,WH_007,11/15/2023,3.68,331.12,201,2
136,WH_014,4/9/2024,6.6,251.95,31,2
137,WH_007,12/10/2024,6.15,399.25,57,2
138,WH_014,1/1/2025,5,251.56,337,2
139,WH_014,10/30/2023,2.82,63.19,243,3
140,WH_003,1/1/2023,6.9,176.36,315,3
141,WH_015,7/13/2023,6.21,179.76,73,3
142,WH_010,12/18/2024,5.85,323.15,131,2
143,WH_017,2/2/2023,3.6,353.73,143,2
144,WH_002,11/6/2023,8.49,365.9,314,2
145,WH_013,3/14/2025,8.17,179.83,100,2
146,WH_015,4/25/2025,3.4,456.72,68,2
147,WH_003,1/10/2025,5.92,317.22,149,3
148,WH_011,3/15/2024,6.13,143.12,150,3
149,WH_013,4/30/2025,8.31,99.61,239,2
150,WH_010,8/21/2024,8.39,211.27,62,2
151,WH_003,12/9/2024,7.04,492.86,118,2
152,WH_009,8/28/2025,3.49,292.41,351,2
153,WH_018,3/23/2024,5.07,80.24,370,3
154,WH_002,7/21/2023,5.76,335.11,90,2
155,WH_009,6/26/2024,8.5,356.8,68,3
156,WH_013,10/30/2024,7.05,454.47,63,3
157,WH_018,9/19/2023,5.45,66.65,185,3
158,WH_003,3/26/2025,5.11,313.3,319,2
159,WH_012,2/18/2024,3.93,494.26,292,2
160,WH_003,10/31/2023,6.71,447.69,36,2
161,WH_004,4/16/2023,9.94,345.12,121,3
162,WH_004,11/14/2024,4.87,452.36,42,3
163,WH_010,6/10/2024,7.2,484.19,188,2
164,WH_009,9/8/2023,6.79,286.42,306,2
165,WH_019,7/4/2024,6.61,352.44,242,3
166,WH_004,4/25/2024,6.89,326.77,383,2
167,WH_009,1/15/2025,9.03,193.27,354,2
168,WH_001,4/4/2025,1.8,422.58,295,2
169,WH_002,3/17/2025,1.04,387.57,316,3
170,WH_015,5/10/2025,7.09,339.69,278,2
171,WH_007,4/3/2023,6.4,60.67,96,2
172,WH_008,8/5/2025,5.42,320.89,37,2
173,WH_015,9/29/2025,4.44,320.32,83,2
174,WH_019,10/15/2024,4.99,255.47,392,2
175,WH_002,2/17/2025,5.47,170.84,134,2
176,WH_017,12/3/2024,7.1,74.93,269,2
177,WH_017,6/30/2025,7.36,153.1,309,1
178,WH_020,6/8/2023,6.93,93.88,373,3
179,WH_011,6/6/2025,4.1,112.15,216,2
180,WH_006,2/27/2023,9.64,367.37,345,2
181,WH_017,6/3/2025,3.81,56.37,82,2
182,WH_007,6/27/2025,5.25,453.63,215,2
183,WH_008,10/28/2024,7.75,103.77,245,1
184,WH_017,3/3/2025,3.42,456.89,293,3
185,WH_009,6/14/2024,4.22,373.06,113,2
186,WH_016,12/15/2023,9.18,75.19,232,2
187,WH_016,6/8/2024,3.38,342.74,199,3
188,WH_017,11/30/2024,7.28,201.11,394,3
189,WH_014,11/5/2024,4.41,213.72,204,2
190,WH_020,8/17/2023,6.55,420.12,240,2
191,WH_001,1/17/2025,6.48,101.93,22,3
192,WH_002,7/29/2024,3.13,223.73,248,3
193,WH_008,1/18/2024,6.49,404.36,20,3
194,WH_010,7/8/2024,2.85,444.44,203,1
195,WH_017,1/29/2024,2.92,383.06,92,3
196,WH_019,3/2/2025,7.53,350.85,197,2
197,WH_003,9/11/2025,6.65,445,177,2
198,WH_019,1/31/2025,6.35,69.42,273,2
199,WH_009,9/3/2025,6.08,240.95,128,3
200,WH_010,7/5/2023,3.12,336.06,331,2
201,WH_013,2/27/2025,8.86,212.72,361,2
202,WH_014,2/9/2025,5.79,437.57,319,2
203,WH_005,1/8/2024,4.9,226.3,254,3
204,WH_015,6/9/2025,2.18,382.28,49,2
205,WH_016,5/5/2025,3.84,192.59,110,2
206,WH_006,3/26/2023,5.42,128.43,142,2
207,WH_004,4/27/2025,6.94,351.68,204,2
208,WH_005,8/18/2024,3.36,338.94,235,3
209,WH_011,6/5/2023,7.32,339.58,129,2
210,WH_009,8/26/2023,5.15,412.96,43,2
211,WH_016,7/5/2025,4.94,242.57,262,2
212,WH_020,6/19/2024,4.5,165.17,168,3
213,WH_014,6/1/2024,4.46,162.72,189,1
214,WH_014,11/25/2024,8.68,133.3,129,3
215,WH_007,8/23/2025,7.62,68.88,228,2
216,WH_015,1/31/2025,8.91,391.21,139,2
217,WH_006,4/7/2024,11.23,394.5,207,2
218,WH_012,1/31/2024,6.22,274,324,3
219,WH_002,10/24/2023,4.85,235.39,200,3
220,WH_003,9/19/2023,4.75,105.49,277,2
221,WH_010,6/13/2025,4.1,248.05,338,2
222,WH_011,5/17/2023,6.2,181.97,179,2
223,WH_010,3/18/2024,5.57,328.11,111,3
224,WH_017,6/9/2025,6.85,419.62,362,2
225,WH_011,10/13/2024,4.36,126.25,316,2
226,WH_020,1/9/2025,6.59,234.79,399,3
227,WH_014,12/5/2024,3.52,291.38,69,3
228,WH_013,12/30/2023,9.94,187,30,2
229,WH_005,1/19/2023,2.69,101.81,345,3
230,WH_018,4/27/2023,3.95,371.01,93,2
231,WH_015,10/30/2023,4.04,324.75,274,3
232,WH_016,1/20/2024,8.07,424.44,360,2
233,WH_019,4/12/2024,9.19,418.3,395,3
234,WH_008,6/18/2023,4.36,113.28,73,2
235,WH_015,12/1/2023,8.36,136.37,57,2
236,WH_019,10/13/2024,6.46,329.94,101,3
237,WH_007,5/2/2025,5.07,169.34,348,2
238,WH_015,8/13/2025,8.6,257.21,91,2
239,WH_013,6/15/2024,5.74,171.59,186,1
240,WH_020,12/27/2023,7.32,286.54,304,2
241,WH_020,5/4/2024,6.16,201.48,354,3
242,WH_010,6/7/2024,6.31,361.55,214,2
243,WH_007,5/11/2023,5.99,358.17,167,3
244,WH_013,5/2/2024,5.46,271.3,185,2
245,WH_008,5/19/2024,7.28,213.39,361,3
246,WH_015,12/26/2024,6.16,398.1,75,2
247,WH_014,8/22/2023,5.34,309.72,111,1
248,WH_008,9/16/2024,7.5,333,198,2
249,WH_015,1/11/2024,6.73,103.89,387,2
250,WH_002,7/8/2025,3.69,414.26,262,2
251,WH_001,3/5/2024,5.88,133.96,369,2
252,WH_017,4/8/2025,6.81,94.82,141,2
253,WH_006,2/28/2025,4.52,220.82,349,3
254,WH_005,9/15/2025,6.39,130.13,276,2
255,WH_020,6/28/2025,3.86,324.97,132,2
256,WH_003,4/1/2023,5.38,85.4,84,2
257,WH_012,9/30/2023,8.58,67.23,157,3
258,WH_002,12/4/2023,2.49,493.35,205,3
259,WH_005,8/4/2023,4.21,284.28,140,2
260,WH_015,1/25/2024,3.73,338.18,27,1
261,WH_010,2/10/2024,3.11,474.48,57,2
262,WH_020,12/1/2023,5.73,169.12,371,2
263,WH_020,12/31/2023,6.86,105.57,79,2
264,WH_019,2/19/2023,6.68,196.14,31,2
265,WH_008,8/14/2024,6.05,266.33,82,2
266,WH_018,3/18/2023,3.67,260.61,394,2
267,WH_016,3/13/2023,3.28,357.14,165,2
268,WH_015,3/11/2024,8.09,439.09,302,2
269,WH_013,9/29/2025,6.95,466.94,343,2
270,WH_010,7/17/2023,5.64,138.05,340,2
271,WH_012,11/16/2023,4.19,430.38,378,2
272,WH_008,11/19/2023,8.61,225.92,196,2
273,WH_020,5/7/2023,7.34,321.76,203,3
274,WH_005,11/24/2024,5.4,323.56,173,1
275,WH_002,12/30/2024,5.25,259.87,310,2
276,WH_013,5/3/2025,7.27,90.59,64,2
277,WH_019,4/29/2024,9.31,173.94,47,3
278,WH_012,10/2/2024,3.41,234.03,224,2
279,WH_014,4/2/2025,5.61,491.01,204,1
280,WH_003,8/6/2025,6.01,135.46,291,1
281,WH_013,8/20/2025,6.43,233.77,30,2
282,WH_017,1/15/2023,4.79,112.21,155,2
283,WH_007,4/11/2024,6.26,276.8,397,2
284,WH_017,8/27/2023,10.81,74.24,94,2
285,WH_014,9/28/2023,4.8,230.51,197,3
286,WH_006,2/15/2023,7.44,206.88,187,2
287,WH_001,10/14/2024,4.15,317.89,161,2
288,WH_013,8/27/2025,6.2,349.95,291,3
289,WH_009,8/26/2023,3.67,446.85,53,2
290,WH_005,7/12/2024,4.48,495.53,344,3
291,WH_003,11/7/2023,5.98,487.21,216,3
292,WH_014,10/2/2023,6.52,163,370,1
293,WH_001,1/2/2023,4.43,333.47,59,1
294,WH_012,10/1/2024,7.29,250.49,170,2
295,WH_011,1/11/2023,4.23,309.55,201,2
296,WH_009,8/23/2025,4.47,341.16,253,2
297,WH_002,11/1/2023,1,288.33,366,3
298,WH_018,2/21/2025,5.19,314.18,388,2
299,WH_004,7/28/2023,9.01,308.38,117,2
300,WH_018,8/29/2025,5.35,446.06,194,2
301,WH_002,4/29/2024,4.24,291.81,164,3
302,WH_005,9/27/2025,6.56,434.12,110,1
303,WH_008,1/28/2025,6.84,298.89,337,3
304,WH_019,3/1/2025,5.19,367.48,42,2
305,WH_004,1/24/2025,4.23,199.47,360,2
306,WH_002,6/3/2023,7.76,408.86,98,2
307,WH_005,1/26/2025,1.78,227.79,174,2
308,WH_017,1/9/2023,4.27,105.27,228,1
309,WH_006,5/3/2024,8.13,142.68,396,2
310,WH_009,4/3/2023,5.53,237.86,232,2
311,WH_004,10/20/2024,6,356.67,233,3
312,WH_015,3/5/2025,5.4,136.48,60,2
313,WH_009,1/7/2025,3.6,58.93,138,1
314,WH_011,12/15/2024,5.34,349.84,155,2
315,WH_016,11/10/2024,6.05,423.76,117,2
316,WH_005,1/24/2025,5.79,256.15,346,2
317,WH_014,3/2/2023,5.18,288.6,88,2
318,WH_013,10/27/2023,6.43,135.32,95,2
319,WH_009,6/19/2025,3.8,198.35,104,3
320,WH_015,6/25/2025,7.87,372.94,122,3
321,WH_020,2/17/2023,4.44,323.96,190,2
322,WH_012,3/13/2024,6.71,455.08,319,2
323,WH_001,2/1/2025,8.62,153.39,395,1
324,WH_013,10/3/2023,3.87,182.71,287,3
325,WH_007,11/22/2023,7.06,217.06,164,2
326,WH_003,7/9/2023,4.8,257.88,101,1
327,WH_002,7/16/2023,8.54,233.06,107,2
328,WH_005,8/10/2023,6.44,80.22,77,2
329,WH_011,5/25/2025,8.39,66.13,121,2
330,WH_020,6/9/2024,6.38,446.26,85,2
331,WH_001,10/12/2024,4.96,323.19,136,3
332,WH_015,3/30/2025,4.74,213.1,29,1
333,WH_006,2/23/2024,5.25,132.12,152,2
334,WH_020,6/12/2025,3.42,181.33,333,2
335,WH_014,7/26/2025,11.41,58.18,305,2
336,WH_014,5/14/2024,5.92,231.04,248,3
337,WH_008,7/13/2023,6.9,265.86,329,3
338,WH_002,4/6/2023,8.4,153.82,172,2
339,WH_002,12/30/2023,9.7,120.27,364,2
340,WH_003,2/7/2023,7.82,146.38,319,2
341,WH_017,7/28/2023,5.63,387.42,274,3
342,WH_004,2/13/2025,3.43,347.59,220,2
343,WH_020,10/21/2024,7,250.44,272,2
344,WH_002,2/22/2024,5.73,389.44,308,2
345,WH_008,9/29/2025,8.25,136.22,208,2
346,WH_013,5/10/2025,6.2,259.51,226,3
347,WH_011,11/12/2023,8.31,221.37,391,2
348,WH_012,10/8/2024,8.98,272.09,90,2
349,WH_013,9/28/2023,9.97,352.13,324,2
350,WH_004,6/20/2025,4.08,146.04,209,1
351,WH_016,10/12/2024,3.7,144.58,329,2
352,WH_017,3/4/2025,5.63,275.63,123,3
353,WH_011,8/22/2023,3.73,57.72,176,3
354,WH_004,7/1/2023,8.29,237.68,269,1
355,WH_009,7/19/2025,7.41,354.16,395,3
356,WH_013,3/29/2025,4.84,396.58,324,2
357,WH_007,5/31/2023,5.78,150.39,347,2
358,WH_013,4/30/2024,7.12,114.31,319,3
359,WH_018,6/22/2024,3.03,67.95,382,2
360,WH_009,8/17/2025,4.72,189.42,213,2
361,WH_013,1/10/2025,7.42,362.21,224,2
362,WH_001,2/22/2024,4.83,307.19,177,2
363,WH_005,5/9/2025,3.02,374.77,229,2
364,WH_005,2/16/2024,7.89,342.28,249,2
365,WH_007,1/5/2024,8.38,446.21,250,3
366,WH_005,4/21/2024,5.89,289.25,378,2
367,WH_002,1/6/2023,1,334.66,316,2
368,WH_005,4/2/2025,3.63,240.83,22,3
369,WH_003,4/3/2024,6.61,437.12,236,3
370,WH_008,8/11/2024,6.05,391.26,318,2
371,WH_004,12/23/2024,6.02,497.29,253,3
372,WH_007,1/19/2024,5.61,483,202,2
373,WH_005,8/26/2025,7.64,403.24,33,3
374,WH_008,2/23/2024,9.2,447.94,378,3
375,WH_011,9/27/2024,5.25,466.44,349,2
376,WH_005,7/2/2025,7.74,258.63,379,2
377,WH_005,9/1/2024,6.96,382.76,187,1
378,WH_006,11/1/2023,3.16,168.1,310,3
379,WH_013,6/9/2025,4.48,339.35,195,3
380,WH_001,4/20/2024,8.01,254.36,309,2
381,WH_009,9/11/2024,2.29,145.09,340,3
382,WH_009,2/27/2023,7.56,152.44,49,2
383,WH_019,8/11/2024,7.59,148.16,334,2
384,WH_005,4/12/2025,4.71,480.39,28,2
385,WH_009,4/28/2024,9.94,369.45,137,1
386,WH_014,6/17/2024,6.15,400.09,279,1
387,WH_012,3/20/2024,5.06,379.28,140,2
388,WH_015,5/3/2024,5,163.39,368,2
389,WH_015,10/27/2024,5.81,432.18,173,2
390,WH_016,8/10/2024,5.15,444.18,140,2
391,WH_017,2/1/2025,7,384.88,357,3
392,WH_009,6/14/2025,4.32,67.22,58,3
393,WH_005,2/6/2023,6.54,203.87,169,3
394,WH_002,12/6/2023,10.46,417.91,249,3
395,WH_005,4/24/2024,3.76,310.42,199,3
396,WH_018,5/25/2025,5.81,253.32,28,3
397,WH_009,1/16/2025,5.41,120.4,190,2
398,WH_010,9/29/2025,5.63,328.67,312,2
399,WH_018,4/14/2023,5.03,319.76,190,2
400,WH_002,12/21/2023,5.83,458.16,285,3
401,WH_015,8/24/2023,6.78,138.25,44,2
402,WH_005,7/17/2025,6.07,151.55,262,2
403,WH_005,10/11/2024,5.44,323.24,273,2
404,WH_008,6/16/2024,4.99,155.6,80,2
405,WH_008,8/25/2025,2.49,351.51,147,3
406,WH_017,4/22/2023,3.6,422.04,206,3
407,WH_016,12/5/2023,6.9,150.05,55,2
408,WH_008,6/20/2023,7.35,304.88,287,3
409,WH_009,5/22/2024,5.43,314.52,128,1
410,WH_006,12/19/2024,6.38,484.55,169,2
411,WH_005,6/4/2023,8.03,340.38,130,3
412,WH_005,1/14/2023,7.96,494.22,353,1
413,WH_005,10/9/2023,7.74,56.64,364,2
414,WH_018,8/9/2023,3.81,341.74,92,2
415,WH_002,8/18/2023,10.91,369.96,320,2
416,WH_010,1/17/2025,5.79,55.73,35,3
417,WH_003,3/27/2023,4.26,248.38,386,2
418,WH_004,4/8/2023,3,119.23,287,2
419,WH_006,3/31/2025,8.79,176.49,375,2
420,WH_003,8/24/2025,5.2,418.73,187,3
421,WH_002,9/18/2024,7.54,151.83,395,3
422,WH_003,5/14/2023,3.9,362.59,331,2
423,WH_018,7/15/2025,6.47,131.64,166,2
424,WH_001,10/24/2024,5.48,271.37,334,2
425,WH_018,3/22/2024,4.79,411.48,195,2
426,WH_016,11/23/2023,5.09,384.49,101,1
427,WH_015,4/9/2023,5.94,83.35,116,3
428,WH_009,3/24/2024,4.38,369.17,167,2
429,WH_011,1/1/2024,8.02,187.41,232,2
430,WH_009,6/21/2024,8.38,433.21,346,3
431,WH_019,8/6/2025,3.69,167.57,361,2
432,WH_015,1/1/2023,5.54,496.2,355,1
433,WH_004,2/24/2025,5.93,262.99,33,1
434,WH_011,4/19/2023,2.62,146.09,148,2
435,WH_018,1/15/2025,9.05,488.81,311,3
436,WH_017,7/13/2025,8.24,222.89,242,2
437,WH_013,5/28/2024,3.66,410.74,181,2
438,WH_002,12/9/2023,7.69,453.06,204,2
439,WH_020,2/20/2023,5.32,272.51,297,3
440,WH_013,9/21/2025,5.88,453.77,257,3
441,WH_003,10/4/2024,10.9,495.19,42,2
442,WH_016,11/23/2023,5.55,383.74,332,2
443,WH_019,1/4/2025,2.53,469.88,172,3
444,WH_012,7/4/2025,5.12,480.08,128,2
445,WH_019,9/11/2023,6.94,379.15,213,2
446,WH_012,5/13/2023,5.75,349.39,39,3
447,WH_011,12/16/2023,4.34,261.59,100,2
448,WH_008,2/14/2025,5.25,397.06,206,2
449,WH_018,8/21/2023,6.58,190.54,81,2
450,WH_018,4/2/2023,8.17,386.79,185,3
451,WH_020,6/19/2023,7.41,373.34,40,2
452,WH_005,10/27/2023,6.58,129.6,374,2
453,WH_014,5/10/2024,7.86,86.34,137,2
454,WH_010,3/13/2024,6.87,228.25,257,3
455,WH_013,8/30/2023,7.05,433.16,130,2
456,WH_017,12/25/2023,8.68,380.83,212,1
457,WH_010,10/14/2024,4.74,62.41,88,2
458,WH_018,1/12/2024,6.96,384.41,177,2
459,WH_006,11/9/2023,3.34,494.52,290,2
460,WH_015,1/15/2025,5.49,348.9,61,2
461,WH_013,5/1/2023,7.95,398.92,65,3
462,WH_003,1/20/2023,10.3,112.18,312,2
463,WH_015,8/1/2024,3.11,498.02,333,3
464,WH_009,6/18/2025,5.48,152.05,193,3
465,WH_001,5/9/2025,5.53,296.88,379,2
466,WH_015,4/27/2025,4.88,158.18,47,2
467,WH_009,8/7/2023,4.03,338.11,398,3
468,WH_018,5/11/2025,5.41,99.9,109,3
469,WH_017,7/2/2024,4.64,198.94,147,2
470,WH_015,8/10/2023,6.01,424.55,210,1
471,WH_006,10/3/2023,4.3,247.32,381,3
472,WH_018,7/27/2024,8.98,481.12,380,2
473,WH_011,12/17/2024,3.33,100.54,228,2
474,WH_007,8/16/2023,6.49,129.83,351,2
475,WH_003,1/14/2024,5.68,398.79,364,3
476,WH_017,4/22/2025,1.49,397.51,334,3
477,WH_001,6/28/2024,5.04,129.34,22,2
478,WH_001,5/5/2023,5.96,472,163,2
479,WH_013,5/26/2024,7.04,194.08,33,2
480,WH_018,10/3/2023,7.54,432.03,86,2
481,WH_001,4/21/2023,5.21,95.12,106,2
482,WH_016,12/10/2023,3.22,494.37,179,3
483,WH_018,8/13/2024,4.37,266.31,209,1
484,WH_002,9/17/2024,7.26,254.03,205,2
485,WH_009,8/11/2024,6.2,172.26,324,2
486,WH_006,3/11/2025,4.28,269.42,74,2
487,WH_015,4/23/2023,7.32,497.15,359,3
488,WH_017,4/3/2025,7.38,256.92,375,2
489,WH_014,4/27/2024,6.66,185.7,146,2
490,WH_013,1/11/2025,5,173.87,358,2
491,WH_005,3/20/2025,7.49,397.01,35,2
492,WH_006,9/16/2024,5.38,160.92,172,2
493,WH_013,3/15/2024,7.02,327.13,25,2
494,WH_008,1/18/2024,8.77,400.09,116,1
495,WH_005,5/13/2023,7.76,287.87,253,3
496,WH_009,2/21/2024,9.2,357.13,208,3
497,WH_005,7/30/2025,1,69.71,352,2
498,WH_019,1/3/2025,8.22,255.62,298,3
499,WH_008,4/3/2024,7.86,356.26,27,2
500,WH_004,8/13/2023,1.66,70.51,368,2
501,WH_005,11/23/2023,5.1,302.27,60,2
502,WH_009,7/4/2025,6.25,328.99,47,2
503,WH_020,12/24/2023,5.03,459.04,293,2
504,WH_008,5/7/2025,1,65.45,219,2
505,WH_012,6/10/2025,7.22,422.13,170,2
506,WH_013,7/24/2025,4.66,97.66,118,2
507,WH_016,6/24/2025,4.86,123.39,201,2
508,WH_009,2/8/2023,6.14,79.96,197,2
509,WH_013,2/5/2024,5.37,422.03,131,2
510,WH_012,1/8/2023,6.95,62.35,122,2
511,WH_005,2/5/2025,4.04,366.52,45,3
512,WH_012,9/5/2024,5.72,432.24,102,3
513,WH_004,7/24/2024,6.17,166.49,21,2
514,WH_016,6/20/2023,5.01,141.58,149,2
515,WH_020,2/4/2023,7.54,376.95,281,2
516,WH_008,2/10/2025,7.93,52.74,388,2
517,WH_010,6/25/2024,6.54,159.81,240,3
518,WH_014,12/25/2024,5.45,147.45,171,2
519,WH_012,3/24/2025,4.93,96.46,68,2
520,WH_015,12/17/2023,7.97,330.37,93,2
521,WH_011,11/21/2023,6.97,164.13,53,2
522,WH_012,5/6/2025,2.27,418.53,207,2
523,WH_001,5/4/2023,7.01,225.12,218,2
524,WH_015,12/24/2023,8.87,492.77,313,3
525,WH_007,6/6/2025,4.25,130.67,369,3
526,WH_018,9/29/2025,7.15,308.11,235,3
527,WH_017,7/17/2025,12.34,108.1,176,3
528,WH_016,1/26/2024,5.5,261.58,223,2
529,WH_012,7/23/2023,4.05,118.42,34,1
530,WH_015,1/21/2025,6.09,114.49,296,3
531,WH_002,1/1/2025,3.25,137.07,70,3
532,WH_005,4/16/2023,7.17,498.3,347,3
533,WH_003,6/15/2024,5.72,414.57,77,2
534,WH_019,7/22/2025,4.19,300.74,334,2
535,WH_009,2/3/2025,7.96,402.27,69,3
536,WH_020,7/24/2023,5.22,191.38,128,3
